atp_id,sheet,excel_row,sl_test_number,sl_atp_id,test_objective,test_data,steps,expected_result,pass_fail,comments
MD_008,MD,8,,,My Design Page,Frame Application,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add all frames and accept the change each time,All frames will apply without issue,,
MD_009,MD,9,,,My Design Page,Sticker Application,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add all stickers and accept the change each time, | All stickers will apply without issue,,
MD_010,MD,10,,,My Design Page,Sticker Opacity,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add a sticker | 6. Change the opacity both ways,Opacity will change,,
MD_011,MD,11,,,My Design Page,Sticker Mirror,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add a sticker | 6. Flip the sticker using mirror tool ,The sticker will mirror ,,
MD_012,MD,12,,,My Design Page,Sticker Rotation,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add a sticker | 6. Rotate the sticker using arrows,The sticker will rotate,,
MD_013,MD,13,,,My Design Page,Sticker Delete Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add a sticker | 6. Delete the sticker by tapping it and then using trash can button ,The sticker will delete,,
MD_014,MD,14,,,My Design Page,Sticker Add Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add a sticker | 6. Add another sticker via + button,The sticker add menu will appear,,
MD_015,MD,15,,,My Design Page,Add Text,"1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add Text in all fonts, allignments, colors, backgrounds",The text will appear as oriented and customized ,,
MD_016,MD,16,,,My Design Page,Add Text Delete Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add Text | 6. Delete the same text by tapping on it  | and hitting the trash can button ,Text will be deleted,,
MD_017,MD,17,,,My Design Page,Add Text Add Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add Text | 6. Add more text by tapping the | same text and then pressing + button,Text box will appear and allow you to add more text,,
MD_018,MD,18,,,My Design Page,Text Color Selection Dropper,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add Text and image | 6. Change color of text using dropper tool to copy a color of another asset on screen,The color will match the asset you select,,
MD_019,MD,19,,,My Design Page,Paint Tool ,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Select paint tool,"The paint tool will show thickness, stroke density, and color option",,
MD_020,MD,20,,,My Design Page,Paint Tool Customizations,"1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Select paint tool | 6. Use all default colors, use min, mid, and max thickness, use min, mid, max stroke denisty for painting.",The strokes will reflect the settings,,
MD_021,MD,21,,,My Design Page,Paint Tool Delete Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Select paint tool | 6. Press the Delete Button,All drawings will be erased,,
MD_022,MD,22,,,My Design Page,Crop and Rotate Page,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Select Crop and Rotate tool," | Aspect Ratio, Mirror Button, Rotate bar, rotate 90 degrees button will appear.",,
MD_023,MD,23,,,My Design Page,Crop and Rotate Customizations,"1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Select Crop and Rotate tool | 6. Change Aspect Ratio, Mirror the photo, manually rotate by swiping the bar left and right, and rotate 90 degrees at a time using rotate 90 degrees button. ","Aspect Ratio, Mirror Button, Rotate bar, rotate 90 degrees button will change image as commanded",,
MD_024,MD,24,,,My Design Page,Alert Message,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Leave canvas blank and press print," | The following will appear | ""Print a blank sheet? |  | ____________________ |  | Are you sure you want to print a blank | sheet? You may want to first add photos or | 	other elements.  |  | (Don't print yet) |  | (Print blank sheet)""",,
MD_025,MD,25,,,My Design Page,Alert Message Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Leave canvas blank and press print | 6. Press (Print blank sheet),The print screen will appear,,
MD_026,MD,26,,,My Design Page,Alert Message Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Leave canvas blank and press print | 6. Press (Don't print yet),The edit screen will appear,,
MD_027,MD,27,,,My Design Page,Print,1. Download and Launch App | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add an image | 6. Print,The image should print and prompt user to press cutter,,
MD_028,MD,28,,,My Design Page,Add Printer Button,"1. Ensure no printer connected, press add printer button | 2. Connect the HP 500 | 3. Tap My Design | 4. Set a Length | 5. Add an image | 6. Print",Manage Printers Page appears ,,
PB_002,PB,2,,,Photobooth Mode,Photobooth Page,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode and ok to the pop up.,"The following will appear |  | "" | < |  |  |  |  |  |  | Camera flip |  |  | Start capture button |  |  | """,,
PB_003,PB,3,,,Photobooth Mode,Photobooth Camera Flip,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press camera flip,The camera will switch to the back and the flash toggle will appear,,
PB_004,PB,4,,,Photobooth Mode,Photobooth Camera Flash,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press camera flip | 5. Press Flash button and press capture,Flash icon indicates it's toggled on and will flash when each picture is taken,,
PB_005,PB,5,,,Photobooth Mode,Photobooth Progress Wheel,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press capture,The progress wheel will fill red as each picture is taken,,
PB_006,PB,6,,,Photobooth Mode,Photobooth Smile Asset,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press capture, | Each picture will show you either a happy face  | or a happy winking face as it's captured,,
PB_007,PB,7,,,Photobooth Mode,Photobooth Countdown,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press capture,Every second the corresponding digit of the countdown will illuminate,,
PB_008,PB,8,,,Photobooth Mode,Pop Up Message,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode," | Pop up will appear "" | Photobooth |  | Use the Photobooth feature | to take 4 photos in a row | and compile them on one  | Sprocket Panorama print. | Strike a pose! | _______________________________ |  | (Don't Show Again) (OK)""",,
PB_009,PB,9,,,Photobooth Mode,Photobooth Picture,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Press capture,4 pictures in a vertical line will appear,,
PB_010,PB,10,,,Photobooth Mode,Printing,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Photobooth mode | 4. Capture | 5. Select Print,Image should print and prompt user to press cutter,,
PH_plus_PC_plus_CS_002,PH + PC + CS,2,,,Print Photo,Print Photo Page ,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo,"Page will appear"" | (<)  Set Paper Length (Next) |  |  |  | (+) Custom Length        (Portrait/Landscape icon) |  | Suggested		 (Fill Icon) |  | * Best Fit  2""x3.2"" |  | * Tag       2""x4"" |  | * Sticker   2""x2"" |  | * Label     2""x6"" |  | """,,
PH_plus_PC_plus_CS_003,PH + PC + CS,3,,,Print Photo,Auto Orientation ,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Pick Portait and Landscape picture,Depending on photo orientation it will auto display in same orientation,,
PH_plus_PC_plus_CS_004,PH + PC + CS,4,,,Print Photo,Double Tap Reset Photo Zoom,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Pinch to zoom out | 5. Double tap picture,It will reset to original,,
PH_plus_PC_plus_CS_005,PH + PC + CS,5,,,Print Photo,Fill/Fit Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Fill/Fit Button,The photo will switch between fill and fit,,
PH_plus_PC_plus_CS_006,PH + PC + CS,6,,,Print Photo,Preset Size Options,"1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Tap Best Fit, Tag, Sticker, And Label | 5. Observe changes",The sizing will change each option,,
PH_plus_PC_plus_CS_007,PH + PC + CS,7,,,Print Photo,Custom Size Option,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Tap custom size,The custom size tool from the My Design tab will appear. ,,
PH_plus_PC_plus_CS_008,PH + PC + CS,8,,,Print Photo,Custom Size Option Fill/Fit Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Tap custom size | 5. Tap Fill/Fit button,The photo will fill/fit,,
PH_plus_PC_plus_CS_009,PH + PC + CS,9,,,Print Photo,Custom Size Adjustment Tool,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Tap custom size | 5. Test the bar and sides of the photo to change size,The adjustments will reflect based on user input,,
PH_plus_PC_plus_CS_010,PH + PC + CS,10,,,Print Photo,Print from Facebook,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select from Facebook Gallery and print,Photos will import and print,,
PH_plus_PC_plus_CS_011,PH + PC + CS,11,,,Print Photo,Print from Instagram,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select from Instagram Gallery and print,Photos will import and print,,
PH_plus_PC_plus_CS_012,PH + PC + CS,12,,,Print Photo,Print from Google Photos,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select from Google Photos Gallery and print,Photos will import and print,,
PH_plus_PC_plus_CS_013,PH + PC + CS,13,,,Print Photo,Print from Camera,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Use camera to take photo and print,Photos will import and print,,
PH_plus_PC_plus_CS_014,PH + PC + CS,14,,,Print Photo,Print Button (connected),1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Observe Print Button, |  | The print button will be green ,,
PH_plus_PC_plus_CS_015,PH + PC + CS,15,,,Print Photo,Print Button (Device Powered Off),1. Download and Launch App | 2. Connect the HP 500 and power it off | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Observe Print Button, |  | The print button will be gray,,
PH_plus_PC_plus_CS_016,PH + PC + CS,16,,,Print Photo,Print Button (Not connected) ,1. Download and Launch App | 2. Do not Connect the HP 500 | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Observe Add Printer button,The add printer button will appear for connection,,
PH_plus_PC_plus_CS_017,PH + PC + CS,17,,,Print Photo,Print Button (Device Powered Off) Pop Up,1. Download and Launch App | 2. Connect the HP 500 and power off | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Press gray Print Button,"Pop up ""Printer not connected |  | _______________________ |  | Add to this photo to the Queue and it will be  | ready to print next time you connect. |  | (Add to queue) | (Cancel)""",,
PH_plus_PC_plus_CS_018,PH + PC + CS,18,,,Print Photo,Add to Queue Button,1. Download and Launch App | 2. Connect the HP 500 and power off | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Press gray Print Button | 7. Press Add to Queue,"Toast message ""Photo added to print queue. ""  (View button)",,
PH_plus_PC_plus_CS_019,PH + PC + CS,19,,,Print Photo,View Print Queue (Power Off),1. Download and Launch App | 2. Connect the HP 500 and power off | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Press gray Print Button | 7. Press Add to Queue and then view,Takes user to Print Queue,,
PH_plus_PC_plus_CS_020,PH + PC + CS,20,,,Print Photo,View Print Queue (Connected),1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Press green Print Button | 7. Press View,Takes user to Print Queue,,
PH_plus_PC_plus_CS_021,PH + PC + CS,21,,,Print Photo,Add Printer Button Connection,1. Download and Launch App | 2. Do not Connect the HP 500 | 3. Select Print Photo | 4. Select Photo from Gallery | 5. Select Print Button on top right | 6. Press Add Printer button,The HP500 will appear if powered on should connect without issue,,
PH_plus_PC_plus_CS_022,PH + PC + CS,22,,,Print Photo,Status Bar (Printer Online),1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo,Status bar will be green on top,,
PH_plus_PC_plus_CS_023,PH + PC + CS,23,,,Print Photo,Status Bar (Printer Offline),1. Download and Launch App | 2. Connect the HP 500 and power off | 3. Select Print Photo,Status bar will be gray on top,,
PH_plus_PC_plus_CS_024,PH + PC + CS,24,,,Print Photo,Save Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Make changes to a photo | 5. Exit | ,"Pop up | "" | Save as new photo? | __________________ |  | If you do not save you will lose any new | 	edits you have applied. |  |  | (Save to gallery) |  | (Do not save)",,
PH_plus_PC_plus_CS_025,PH + PC + CS,25,,,Print Photo,Share Function,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select a picture | 5. Tap share button and share | ,Picture will be shared and the preview will remain on screen,,
PH_plus_PC_plus_CS_026,PH + PC + CS,26,,,Print Photo,Save Function,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Make changes to a photo | 5. Save to Gallery | ,Picture will be in gallery,,
PH_plus_PC_plus_CS_027,PH + PC + CS,27,,,Print Photo,Print Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo,"Pop up | "" | Go to Print | __________________ | Your edits cannot be changed afterwards! | Note: When you print, your work will be | saved to gallery as a new image. |  |  | (Cancel)(OK) |  | [] Don't show everytime """,,
PH_plus_PC_plus_CS_028,PH + PC + CS,28,,,Ready to Cut,Ready to Cut Pop Up (1 Photo),1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo | 5. Observe Pop Up,"Pop Up | "" | Ready to Cut! | _______________ |  | Your print is ready! Press down on the | paper cutter to continue. |  |  |  |  |  | (close) | """,,
PH_plus_PC_plus_CS_029,PH + PC + CS,29,,,Ready to Cut,Ready to Cut Pop Up (Multi Photo),1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print more than 2 copies | 5. Observe Pop Up," | Pop Up | "" | Ready to Cut! | _______________ |  | Your print is ready! Press down on the | paper cutter to continue. |  |  |  |  |  | (close) |  |  | ______ More options________ |  | (Skip cutting and print next) |  | (Skip cutting and print (number) remaining) |  | """,,
PH_plus_PC_plus_CS_030,PH + PC + CS,30,,,Calibration Sheet,Calibration Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo with brand new roll | 5. Observe calibration Pop Up," | Pop up "" |  | Printer is calibrating |  | ______________________ |  | (GIF) |  |  | Please wait a moment for the calibration sheet | to finish printing. |  | """,,
PH_plus_PC_plus_CS_031,PH + PC + CS,31,,,Calibration Sheet,Calibration Cut Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo with brand new roll | 5. Allow it to finish," |  | Pop up "" |  | Cut calibration sheet |  | ______________________ |  | Use the cutter to remove calibration sheet | and your photo will begin printing. |  | (Close) | """,,
PH_plus_PC_plus_CS_032,PH + PC + CS,32,,,Ready to Cut,Skip cutting and print next Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print 2 copies | 5. Skip cutting and print next,Printer will print next photo,,
PH_plus_PC_plus_CS_033,PH + PC + CS,33,,,Ready to Cut,Skip cutting and print (number) remaining  Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print more than 2 copies  | 5. Press Skip cutting and print next (number) button,All prints will come out in a row with no cuts,,
PH_plus_PC_plus_CS_034,PH + PC + CS,34,,,Calibration Sheet,Calibration Sheet Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo with brand new roll | 5. Observe calibrtation Pop Up,"Pop up ""Printer is calibrating |  | Please wait a moment for calibration sheet | to finish printing.""",,
PH_plus_PC_plus_CS_035,PH + PC + CS,35,,,Calibration Sheet,Calibration Sheet Cut Pop Up,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Print Photo with brand new roll | 5. Wait until its calibrated," | Pop up "" |  | Cut calibration sheet |  | ______________________ |  | Use the cutter to remove calibration sheet | and your photo will begin printing. |  | (Close) | """,,
Photo_ID_002,Photo ID,2,,,Photo ID Mode,Photo ID Mode Layout,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode,,,
Photo_ID_003,Photo ID,3,,,Photo ID Mode,Tips Bar,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press Next on the tips bar | 7. Cycle through all three | 8. Press PREV button to go back to 1," | The following will appear as you navigate | "" | Tip 1: Stand in front of a solid white background. | Tip 2: Do not waer any hats or accessories | Tip 3: Move the camera to position the face within the guides""",,
Photo_ID_004,Photo ID,4,,,Photo ID Mode,Size Changer Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press the size changer button | 7. Cycle through all,"Sizes will change and provide the size in the  | bottom left corner of the subject guide.  |  | Sizes are 2x2, 1.4x1.8, 1.3x1.9, and 1x1.",,
Photo_ID_005,Photo ID,5,,,Photo ID Mode,Tips Toggle Button,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press the Tips button,"Tips will dissapear, center head  | and eye level labels dissapear",,
Photo_ID_006,Photo ID,6,,,Photo ID Mode,Timer ,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press the timer button and repeat for each timer setting after capturing. ,Timer countdown options will appear for the camera,,
Photo_ID_007,Photo ID,7,,,Photo ID Mode,Selfie Camera,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press the camera reverse button. ,The selfie camera will appear,,
Photo_ID_008,Photo ID,8,,,Photo ID Mode,Flash Toggle,1. Download and Launch App | 2. Connect the HP 500 | 3. Select Print Photo | 4. Select Camera | 5. Select Photo ID mode | 6. Press the flash button and capture a photo.  ,Flash will fire when image is captured,,
SL_002,SL,2,1,SL_002,Sign Up/Sign In,Email Address Warning Message Sign Up,"1. Download and Launch App | 2. Connect the HP 500 | 3. Enter Name | 4. Enter ""t"" in the email box | 5. Enter ""t"" in the password box","Warning Message | ""Alert |  | Please enter your email address |  | (Ok)""",,
SL_003,SL,3,2,SL_003,Sign Up/Sign In,Password Warning Message Sign Up,"1. Download and Launch App | 2. Connect the HP 500 | 3. Enter Name | 4. Enter ""test@test.com"" in the email box | 5. Enter ""t"" in the password box","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_004,SL,4,3,SL_004,Sign Up/Sign In,Password Warning Message Sign Up,"1. Download and Launch App | 2. Connect the HP 500 | 3. Enter Name | 4. Enter ""test@test.com"" in the email box | 5. Enter ""testpass1"" in the password box","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_005,SL,5,4,SL_005,Sign Up/Sign In,Password Warning Message Sign Up,"1. Download and Launch App | 2. Connect the HP 500 | 3. Enter Name | 4. Enter ""test@test.com"" in the email box | 5. Enter ""Testpass"" in the password box","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_006,SL,6,5,SL_006,Sign Up/Sign In,Password Warning Message Sign Up,"1. Download and Launch App | 2. Connect the HP 500 | 3. Enter Name | 4. Enter valid email in the email box | 5. Enter ""Testpass1"" in the password box",Should not display warning and will send the user to onboarding,,
SL_007,SL,7,6,SL_007,Sign Up/Sign In,Email Warning Message Sign In,"1. Download and Launch App | 2. Connect the HP 500 | 3. Press Already have an account | 4. Enter ""T"" for the email | 5. Enter ""T"" for the password","Warning Message | ""Alert |  | Please enter your email address |  | (Ok)""",,
SL_008,SL,8,7,SL_008,Sign Up/Sign In,Password Warning Message Sign In,"1. Download and Launch App | 2. Connect the HP 500 | 3. Press Already have an account | 4. Enter valid email for the email | 5. Enter ""Testpass"" for the password","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_009,SL,9,8,SL_009,Sign Up/Sign In,Password Warning Message Sign In,"1. Download and Launch App | 2. Connect the HP 500 | 3. Press Already have an account | 4. Enter valid email for the email | 5. Enter ""testpass1"" for the password","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_010,SL,10,9,SL_010,Sign Up/Sign In,Password Warning Message Sign In,"1. Download and Launch App | 2. Connect the HP 500 | 3. Press Already have an account | 4. Enter valid email for the email | 5. Enter ""t"" for the password","Warning Message | ""Alert |  | At least 8 characters, at least one | lowercase and one uppercase letter |  | (Ok)""",,
SL_011,SL,11,10,SL_011,Sign Up/Sign In,Password Warning Message Sign In,"1. Download and Launch App | 2. Connect the HP 500 | 3. Press Already have an account | 4. Enter valid email for the email | 5. Enter ""Testpass1"" for the password",Should not display warning and will send the user to onboarding,,
SL_012,SL,12,11,SL_012,Sign Up/Sign In,Forgot Password,1. Download and Launch App | 2. Connect the HP 500 | 3. Press I already have an account | 4. Press forgot password | 5. Enter email | 6. Press send,Email will be sent to user for password reset,,
SL_013,SL,13,12,SL_013,Sign Up/Sign In,Forgot Password Email,1. Download and Launch App | 2. Connect the HP 500 | 3. Open the email and reset the password,Password will reset,,
SL_014,SL,14,13,SL_014,Sign Up/Sign In,Forgot Password Email,1. Download and Launch App | 2. Connect the HP 500 | 3. Open the email and use the link again,User should be told they can't use link a second time,,
SL_015,SL,15,14,SL_015,Sign Up/Sign In,Forgot Password Email,1. Download and Launch App | 2. Connect the HP 500 | 3. Open a new password reset email after 60 minutes and try to use the link ,User should be told they can't use the link as it expired,,
SL_016,SL,16,15,SL_016,Sign Up/Sign In,Forgot Password Email Parameters,"1. Download and Launch App | 2. Connect the HP 500 | 3. Open the reset link and enter ""testpass1"""," |  | Alert will appear under text box | ""There should be at least one upper case characters""",,
SL_017,SL,17,16,SL_017,Sign Up/Sign In,Forgot Password Email Parameters,"1. Download and Launch App | 2. Connect the HP 500 | 3. Open the reset link and enter ""testpass"""," | Alert will appear under text box | ""There should be at least one number""",,
SL_018,SL,18,17,SL_018,Sign Up/Sign In,Forgot Password Email Parameters,"1. Download and Launch App | 2. Connect the HP 500 | 3. Open the reset link and enter ""Test1"""," | Alert will appear under text box | ""Password must contain at least 8 characters""",,
SL_019,SL,19,18,SL_019,Sign Up/Sign In,Skip Login/Signup,1. Download and Launch App | 2. Connect the HP 500 | 3. Press I'll do it later,Sends user to Onboarding,,
OF_002,OF,2,,,Onboarding,Get Started Page,1. Download and Launch App | 2. Sign in or skip sign in,"Page Appears  |  | ""Print photos and memories |  | Hp Sprocket makes preserving memories easy. Connect with | sprocket, find and select your favorite photo, and send it to | print.  |  |  | By continuing, you acknowledge that this app is owned by C&A | Marketing, Inc.,an authorized licensee of HP, Inc. and you agree that you have read and accept the End User License Agreement | and the HP Sprocket Terms of Service.  |  |  |  | On the Next Screen, you will customize your Data Collection settings.  |  | (Get Started Button)  |  | Note: The Sprocket app Reveal feature has been removed.""",,
OF_003,OF,3,,,Onboarding,Welcome Page,1. Download and Launch App | 2. Sign in or skip sign in | 3. Press get started,"Page Appears  |  | ""					Skip all |  | Welcome to Sprocket | Panorama! |  | Choose the perfect paper length for your print up to | 9 inches! Decorate it with sticker, doodles, frames, | and more! |  | Press 'Next' to begin setting up your device | (Prev)                            (Next)""""",,
OF_004,OF,4,,,Onboarding,Charge + Power On  Page,1. Download and Launch App | 2. Go to Welcome page in onboarding | 3. Press next," | Page Appears  |  | ""					Skip all |  | Charge + Power On |  | Plug in the USB cord to charge and automatically power | on the printer. When not charging, press and hold the power button until the LEDs light up. |  | (Prev)                            (Next)""",,
OF_005,OF,5,,,Onboarding,Load Cleaning Sheet Page,1. Download and Launch App | 2. Go to Charge + Power On  Page in onboarding | 3. Press next,"Page appears   ""					Skip all |  | Load Cleaning Sheet |  | Remove the cover and feed edge of the cleaning sheet | into the slot until it hits the stopper. |  | (Prev)                            (Next)""",,
OF_006,OF,6,,,Onboarding,Load Cleaning Sheet Page Info Page,1. Download and Launch App | 2. Go to Charge + Power On  Page in onboarding | 3. Press next | 4. Press the info button,"Pop up appears |  | ""  |  | (Picture of cleaning sheet) |  | Use the Cleaning Sheet... | * before loading any paper. | * if streaks appear on your prints. | """,,
OF_007,OF,7,,,Onboarding,Close Cover Page,1. Download and Launch App | 2. Go to Load Cleaning Sheet Page in onboarding | 3. Press next," | Page Appears  |  | ""					Skip all |  |  | Close Cover | Place cover back on printer until it clicks in place, then | the cleaning sheet will automatically start to feed. |  | (Prev)                            (Next)""",,
